馬名,血統登録番号,性別,所属,調教師名,種牡馬名,母名,母の父名,馬主名,生産者名,毛色,生年月日,本賞金,収得賞金,前走馬体重,全成績1着数,全成績2着数,全成績3着数,全成績着外数,芝成績1着数,芝成績2着数,芝成績3着数,芝成績着外数,ダート成績1着数,ダート成績2着数,ダート成績3着数,ダート成績着外数,データ作成日,抹消,登録日,抹消日
アルジェンタム,23105675,牡,栗,野中賢二,シルバーステート,サムカインドオブブルー,"Union Rags",カナヤマホールディングス,天羽禮治,芦毛,230507,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,251125,不在,250619,000000
リフレックス,23105748,牡,美,金成貴史,モーニン,ライゼリート,ゼンノロブロイ,小原準一郎,村下清志,鹿毛,230421,1250,400,   0,1,1,2,4,0,0,0,1,1,1,2,3,260402,在厩,250619,000000
ロールスワン,23105805,牡,栗,中内田充,ダノンプレミアム,スワンリヴァー,Australia,中村祐子,ケイアイファーム,鹿毛,230309,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260302,在厩,250619,000000
アッカン,23106288,牡,美,奥村武　,ホークビル,シティリズム,エイシンフラッシュ,"Grande Racing",ノースガーデン,鹿毛,230427,2400,900,   0,2,2,0,2,2,2,0,2,0,0,0,0,260330,在厩,250619,000000
ルヴレアール,23106319,牡,栗,角田晃一,リアルスティール,ラカリフォルニー,"Dutch Art",ライオンレースホース,畠山牧場,鹿毛,230303,89,0,   0,0,0,1,3,0,0,0,0,0,0,0,3,260402,在厩,250619,000000
ハロングロットル,23106603,牡,美,伊藤伸一,ウインブライト,ブリッサ,ブラックホーク,ミルファーム,ミルファーム,鹿毛,230618,0,0,   0,0,0,0,7,0,0,0,6,0,0,0,1,260319,在厩,250619,000000
コッツォリーノ,23106718,牡,美,池上昌和,シルバーステート,シンジュボシ,ダイワメジャー,ラ・メール,松浦牧場,黒鹿,230227,1080,400,   0,1,1,1,1,1,1,1,1,0,0,0,0,260330,在厩,250619,000000
ラブトゥエニイワン,23106827,牡,美,尾関知人,ロードカナロア,アカノニジュウイチ,ブラックタイド,岩切企画,ノーザンファーム,鹿毛,230308,0,0,   0,0,0,0,3,0,0,0,3,0,0,0,0,260323,不在,250619,000000
ヴェイルドハート,23106944,牡,美,尾関知人,サートゥルナーリア,カヴァートラブ,Azamour,キャロットファーム,ノーザンファーム,黒鹿,230226,0,0,   0,0,0,0,1,0,0,0,0,0,0,0,1,251020,不在,250619,000000
アクロフェイズ,23106978,牡,栗,奥村豊　,ロードカナロア,クルミネイト,ディープインパクト,キャロットファーム,ノーザンファーム,鹿毛,230208,2800,400,   0,1,1,1,1,1,1,1,0,0,0,0,1,260402,在厩,250619,000000
ウィロークリーク,23106981,牡,美,中舘英二,ラブリーデイ,クロウキャニオン,フレンチデピュティ,金子真人ホールディングス,ノーザンファーム,黒鹿,230505,1219,400,   0,1,2,0,2,1,2,0,2,0,0,0,0,260409,在厩,250619,000000
エムズビギン,23107127,牡,栗,友道康夫,キタサンブラック,デルフィニア2,Galileo,エムズレーシング,ノーザンファーム,黒鹿,230326,2460,1200,   0,1,2,0,0,1,2,0,0,0,0,0,0,260402,在厩,250619,000000
レイヒストリコ,23107163,牡,美,黒岩陽一,レイデオロ,ヒストリックレディ,ネオユニヴァース,シルクレーシング,ノーザンファーム,鹿毛,230416,1190,400,   0,1,2,1,2,1,2,1,2,0,0,0,0,260409,不在,250619,000000
ホールオブミラーズ,23107299,牡,栗,高野友和,ルーラーシップ,ラテラス,"Harlan's Holiday",サンデーレーシング,ノーザンファーム,鹿毛,230320,799,400,   0,1,0,0,3,0,0,0,1,1,0,0,2,260309,不在,250619,000000
フォルテアンジェロ,23107345,牡,美,上原佑紀,フィエールマン,レディアンジェラ,"Dark Angel",シルクレーシング,ノーザンファーム,鹿毛,230203,3990,1800,   0,1,2,0,0,1,2,0,0,0,0,0,0,260319,在厩,250619,000000
パワポケウォーズ,23107440,牡,美,大和田成,リアルスティール,レッドアクトレス,スクリーンヒーロー,柳原達也,坂本智広,鹿毛,230314,140,0,   0,0,0,0,9,0,0,0,1,0,0,0,8,260330,在厩,250619,000000
フォーマルノーチス,23100038,牡,美,勢司和浩,マクフィ,チャノカオリ,ゴールドアリュール,山本茂,沖田忠幸,鹿毛,230421,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260129,不在,250626,000000
オーキッドワン,23100313,牡,美,水野貴広,リオンディーズ,クレーンズラヴァー,ゼンノロブロイ,助川啓一,本桐牧場,鹿毛,230205,0,0,   0,0,0,0,9,0,0,0,5,0,0,0,4,260330,在厩,250626,000000
ホノボノ,23100581,牡,美,尾形和幸,ダノンプレミアム,ホオポノポノ,タニノギムレット,ノルマンディーサラブレッドレーシング,アイズスタッド,鹿毛,230411,679,400,   0,1,0,0,5,0,0,0,4,1,0,0,1,260316,不在,250626,000000
ブルーミーティア,23100647,牡,美,鈴木伸尋,モズアスコット,ショコラミーティア,マジェスティックウォリアー,山崎泰博,新井弘幸,鹿毛,230402,466,0,   0,0,1,1,4,0,0,0,0,0,1,1,4,260319,在厩,250626,000000
マジックファイヤー,23100771,牡,栗,辻野泰之,キセキ,デトロイトカフェ,マンハッタンカフェ,"Him Rock Racingホールディングス",北田剛,鹿毛,230416,509,0,   0,0,1,1,3,0,1,1,2,0,0,0,1,260319,不在,250626,000000
モンロワイヤル,23100926,牡,栗,牧浦充徳,フィレンツェファイア,サンドスラッシュ,"Holy Roman Emperor",西浦和男,下河辺牧場,栗毛,230423,150,0,   0,0,0,1,1,0,0,1,1,0,0,0,0,260326,在厩,250626,000000
バークシャーシチー,23100967,牡,栗,牧田和弥,モズアスコット,マートンパーク,フレンチデピュティ,友駿ホースクラブ,下河辺牧場,鹿毛,230308,750,400,   0,1,0,0,1,1,0,0,1,0,0,0,0,260219,不在,250626,000000
モアザンファイア,23101068,セ,美,武井亮　,ベストウォーリア,マッシヴエレガンス,ディープブリランテ,KHレーシング,高山博,栗毛,230406,0,0,   0,0,0,0,1,0,0,0,0,0,0,0,1,260409,在厩,250626,000000
ナーシリーヤ,23101142,牡,美,田中剛　,サンダースノー,ナシーラー,Dubawi,ゴドルフィン,ダーレー・ジャパン・ファーム,栗毛,230418,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260323,在厩,250626,000000
マジックハンド,23101390,牡,栗,小椋研介,アメリカンペイトリオット,ハンドスター,パラダイスクリーク,佐々木將吉,船越牧場,黒鹿,230326,0,0,   0,0,0,0,2,0,0,0,0,0,0,0,2,260402,不在,250626,000000
ダイメイクマモト,23101607,牡,栗,秋山真一,ホッコータルマエ,ダイメイムーン,アドマイヤムーン,宮本孝一,横井哲,鹿毛,230220,299,0,   0,0,1,0,2,0,0,0,0,0,1,0,2,260406,不在,250626,000000
クアラトレンガヌ,23101869,牡,美,小笠倫弘,ジョーカプチーノ,プエルトプリンセサ,キンシャサノキセキ,丸山担,伏木田牧場,鹿毛,230401,0,0,   0,0,0,0,4,0,0,0,1,0,0,0,3,260330,在厩,250626,000000
リヴァデラルナ,23102407,牡,栗,西村真幸,ストロングリターン,フィアレス,スペシャルウィーク,岡田牧雄,岡田スタツド,栗毛,230228,0,0,   0,0,0,0,5,0,0,0,1,0,0,0,4,260326,不在,250626,000000
チリンドリ,23102461,牡,栗,昆貢　　,シュウジ,カーニバルダクス,Bernardini,安原浩司,岡田牧場,鹿毛,230430,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,251110,不在,250626,000000
ビリージェイ,23103311,牡,美,高柳瑞樹,ロードカナロア,アクアリング,Anabaa,平田修,社台ファーム,黒鹿,230527,0,0,   0,0,0,0,5,0,0,0,2,0,0,0,3,260323,不在,250626,000000
セスティーナ,23103316,セ,栗,須貝尚介,マインドユアビスケッツ,アムールポエジー,ネオユニヴァース,金子真人ホールディングス,社台ファーム,栗毛,230311,190,0,   0,0,0,1,0,0,0,0,0,0,0,1,0,260323,在厩,250626,000000
シャマレル,23103425,牡,栗,渡辺薫彦,ルーラーシップ,シャワークライム,ローエングリン,社台レースホース,社台ファーム,鹿毛,230426,0,0,   0,0,0,0,4,0,0,0,1,0,0,0,3,260312,不在,250626,000000
セキテイリノ,23103447,牡,美,田中剛　,サトノダイヤモンド,ステイアライヴ,Iffraaj,杉山元洋,社台ファーム,鹿毛,230424,630,0,   0,0,2,1,1,0,2,1,1,0,0,0,0,251218,不在,250626,000000
トーアシチフクジン,23103845,牡,美,村田一誠,ニューイヤーズデイ,アークロイヤル,ハービンジャー,高山ランド,トーア牧場,栗毛,230408,56,0,   0,0,0,0,5,0,0,0,2,0,0,0,3,260402,在厩,250626,000000
マーゴットデイズ,23103896,牡,栗,中村直也,ドレフォン,デリケートアーチ,アフリート,前田良平,レイクヴィラファーム,栗毛,230306,370,0,   0,0,0,0,8,0,0,0,0,0,0,0,8,260330,在厩,250626,000000
ニャンタロウ,23104151,牡,美,武市康男,ホッコータルマエ,シャーレ,ヘニーヒューズ,村田哲朗,須崎牧場,鹿毛,230314,916,400,   0,1,1,0,3,0,0,0,0,1,1,0,3,260409,在厩,250626,000000
リッツパーティー,23104224,牡,美,岩戸孝樹,ミッキーロケット,ハッピーパーティー,クロフネ,田頭勇貴,大作ステーブル,芦毛,230225,820,400,   0,1,0,0,1,1,0,0,1,0,0,0,0,260226,不在,250626,000000
カイラーサ,23104476,牡,栗,河嶋宏樹,トランセンド,プリムヴェール,"Pioneerof the Nile",白日光,平山牧場,鹿毛,230403,84,0,   0,0,0,0,3,0,0,0,0,0,0,0,3,260113,不在,250626,000000
ゴールドプレイヤー,23104504,牡,美,古賀慎明,ゴールドアクター,ゴールドアクション,ヘニーヒューズ,居城寿与,北勝ファーム,鹿毛,230310,650,0,   0,0,2,1,0,0,0,0,0,0,2,1,0,260330,在厩,250626,000000
ローレルエース,23104559,牡,美,松永康利,ヤマカツエース,ウインクルジニー,クロフネ,ローレルレーシング,松木加代,栗毛,230406,0,0,   0,0,0,0,2,0,0,0,2,0,0,0,0,260309,在厩,250626,000000
ニシノトリビュート,23104703,牡,栗,新谷功一,モーリス,ドリームアンドホープ,"Royal Applause",西山茂行,メイタイファーム,鹿毛,230331,0,0,   0,0,0,0,3,0,0,0,2,0,0,0,1,260323,在厩,250626,000000
キチロクゴール,23104916,牡,美,松永康利,デクラレーションオブウォー,スズカプリズム,プリサイスエンド,山本正美,辻牧場,鹿毛,230223,0,0,   0,0,0,0,2,0,0,0,0,0,0,0,2,260330,在厩,250626,000000
クロンヌジャン,23105001,牡,栗,鈴木孝志,アメリカンペイトリオット,エリカバイラ,ブラックタイド,吉田智,三嶋牧場,黒鹿,230328,0,0,   0,0,0,0,2,0,0,0,1,0,0,0,1,260330,在厩,250626,000000
ゴールデンスラム,23105008,牡,栗,池江泰寿,ブリックスアンドモルタル,グアン,オルフェーヴル,インゼルレーシング,三嶋牧場,栗毛,230316,642,400,   0,1,0,0,4,0,0,0,0,1,0,0,4,260319,不在,250626,000000
ナリタエスペランサ,23105046,牡,栗,福永祐一,キタサンブラック,ワンダーフィリー,"Invincible Spirit",オースミ,三嶋牧場,青鹿,230319,870,400,   0,1,0,2,2,1,0,2,2,0,0,0,0,260223,不在,250626,000000
ホウオウファラオ,23105365,牡,美,奥村武　,"American Pharoah",マールボロロード,"The Gurkha",小笹芳央,岡田スタツド,鹿毛,230214,0,0,   0,0,0,0,3,0,0,0,0,0,0,0,3,260330,在厩,250626,000000
グランフォワイエ,23105549,牡,美,室井潔　,ロゴタイプ,ゴートゥートラベル,ヴィクトワールピサ,ノルマンディーサラブレッドレーシング,YMホースレーシング,青鹿,230203,0,0,   0,0,0,0,3,0,0,0,3,0,0,0,0,260316,不在,250626,000000
アクシズ,23105799,牡,美,尾形和幸,ダノンプレミアム,グラナダ,Galileo,中村祐子,ケイアイファーム,鹿毛,230208,59,0,   0,0,0,0,4,0,0,0,1,0,0,0,3,260323,在厩,250626,000000
ロードインヴォーグ,23105802,牡,栗,辻野泰之,リオンディーズ,シュレンヌ,ディープインパクト,ロードホースクラブ,ケイアイファーム,黒鹿,230209,110,0,   0,0,0,0,1,0,0,0,0,0,0,0,1,251218,不在,250626,000000
ロードヴィゴラス,23105806,牡,栗,四位洋文,ダノンプレミアム,ゼスト,Tapit,ロードホースクラブ,ケイアイファーム,鹿毛,230319,832,400,   0,1,0,0,3,0,0,0,1,1,0,0,2,260330,在厩,250626,000000
ロードヴェルテクス,23105813,牡,栗,奥村豊　,ドレフォン,ファイナライズ,ロードカナロア,ロードホースクラブ,ケイアイファーム,鹿毛,230322,0,400,   0,1,0,0,2,0,0,0,1,0,0,0,1,260219,不在,250626,000000
ウインラファーガ,23105888,牡,美,村田一誠,ウインブライト,フラワーウィンド,タニノギムレット,ウイン,コスモヴューファーム,芦毛,230414,75,0,   0,0,0,0,4,0,0,0,4,0,0,0,0,260319,在厩,250626,000000
ナリノシャーウッド,23105963,牡,美,田村康仁,マインドユアビスケッツ,ナリノメジャー,ダイワメジャー,成塚清志,社台コーポレーション白老ファーム,栗毛,230416,750,400,   0,1,0,0,2,0,0,0,1,1,0,0,1,260330,不在,250626,000000
リフラ,23106018,牡,栗,西村真幸,シニスターミニスター,サンタテレサ,ドリームジャーニー,京都ホースレーシング,高橋フアーム,鹿毛,230305,140,0,   0,0,0,1,3,0,0,0,0,0,0,1,3,251218,不在,250626,000000
ジーティーシップ,23106054,牡,栗,緒方努　,ルーラーシップ,レジーナファースト,キンシャサノキセキ,田畑利彦,坂東牧場,鹿毛,230225,84,0,   0,0,0,0,5,0,0,0,5,0,0,0,0,260323,不在,250626,000000
イケイケルノワール,23106244,セ,美,松山将樹,メイショウボーラー,グレイトフルレガロ,ステイゴールド,新井原博,マリオステーブル,栗毛,230307,0,0,   0,0,0,0,1,0,0,0,0,0,0,0,1,251120,不在,250626,000000
ニシノトマラナイ,23106272,セ,美,矢野英一,ドレフォン,ニシノウララ,リーチザクラウン,西山茂行,村上欽哉,黒鹿,230209,56,0,   0,0,0,0,5,0,0,0,0,0,0,0,5,260330,在厩,250626,000000
グラスアロー,23106351,牡,美,菊川正達,イスラボニータ,グラスルビー,Singspiel,半沢,松田牧場,黒鹿,230409,0,0,   0,0,0,0,3,0,0,0,1,0,0,0,2,260319,不在,250626,000000
ベネサルート,23106833,牡,栗,渡辺薫彦,リオンディーズ,アッラサルーテ,ダイワメジャー,サンデーレーシング,ノーザンファーム,黒鹿,230325,972,400,   0,1,0,0,3,1,0,0,2,0,0,0,1,260326,不在,250626,000000
エルナト,23106930,牡,栗,斉藤崇史,レイデオロ,エルノルテ,ディープインパクト,吉田勝己,ノーザンファーム,鹿毛,230419,358,0,   0,0,0,1,3,0,0,1,3,0,0,0,0,260330,在厩,250626,000000
マーズローバー,23107000,牡,栗,柴田卓　,アドマイヤマーズ,コパカティ,ハービンジャー,サンデーレーシング,ノーザンファーム,鹿毛,230118,145,0,   0,0,0,0,4,0,0,0,3,0,0,0,1,260316,不在,250626,000000
サンデースマッシュ,23107021,牡,美,嘉藤貴行,ダノンスマッシュ,サンデースマイル2,"Sunday Silence",シルクレーシング,ノーザンファーム,黒鹿,230209,1070,400,   0,1,1,1,1,1,1,1,1,0,0,0,0,260402,在厩,250626,000000
ランズダウンロード,23107039,牡,美,木村哲也,コントレイル,シユーマ,Medicean,サンデーレーシング,ノーザンファーム,黒鹿,230319,770,400,   0,1,0,1,1,1,0,1,1,0,0,0,0,260323,不在,250626,000000
アルヴァンドルード,23107113,牡,栗,池添学　,モーリス,ティグラーシャ,ディープインパクト,サンデーレーシング,ノーザンファーム,鹿毛,230114,1550,400,   0,1,4,0,0,1,4,0,0,0,0,0,0,260211,不在,250626,000000
ノチェセラーダ,23107143,牡,栗,杉山佳明,ドレフォン,ノチェブランカ,ディープインパクト,サンデーレーシング,ノーザンファーム,芦毛,230218,2390,900,   0,2,0,2,1,2,0,2,1,0,0,0,0,260409,在厩,250626,000000
テンマジックアワー,23100666,牡,栗,高柳大輔,パイロ,アドマイヤジュエル,アドマイヤベガ,天白泰司,いとう牧場,黒鹿,230416,679,400,   0,1,0,0,2,0,0,0,0,1,0,0,2,260312,不在,250703,000000
チェストー,23100770,牡,美,高橋文雅,レッドファルクス,チェス,フリオーソ,諸岡慶,北田剛,青鹿,230509,0,0,   0,0,0,0,6,0,0,0,0,0,0,0,6,260330,在厩,250703,000000
レグラヴィエール,23100774,牡,栗,浜田多実,アメリカンペイトリオット,サンヴィヴァン,マンハッタンカフェ,ヒダカ・ブリーダーズ・ユニオン,木部ファーム,鹿毛,230514,0,0,   0,0,0,0,5,0,0,0,2,0,0,0,3,260402,不在,250703,000000
ヴェロシア,23100929,牡,栗,安田翔伍,ロードカナロア,シュンドルボン,ハーツクライ,窪田芳郎,下河辺牧場,鹿毛,230501,0,0,   0,0,0,0,3,0,0,0,1,0,0,0,2,260406,不在,250703,000000
セルシャーム,23100992,牡,栗,野中賢二,ロジャーバローズ,セシャルマン,ワークフォース,今村明浩,白井牧場,鹿毛,230423,296,0,   0,0,1,0,3,0,0,0,1,0,1,0,2,260326,在厩,250703,000000
ファイアリービート,23101135,牡,美,鈴木慎太,パイロ,チャチャチャ,"Daiwa Major",ゴドルフィン,ダーレー・ジャパン・ファーム,鹿毛,230412,250,0,   0,0,0,1,2,0,0,0,0,0,0,1,2,260216,不在,250703,000000
ラッキーキッド,23101148,牡,美,加藤征弘,ディスクリートキャット,ハッピーゴラッキー,パイロ,ゴドルフィン,ダーレー・ジャパン・ファーム,鹿毛,230129,2750,1600,   0,2,0,1,2,0,0,0,0,2,0,0,2,260402,不在,250703,000000
キャリアハイ,23101234,牡,栗,北出成人,デクラレーションオブウォー,ベネフィット,マンハッタンカフェ,マークス,ナカノファーム,鹿毛,230314,0,0,   0,0,0,0,2,0,0,0,0,0,0,0,2,260409,不在,250703,000000
コレデヨカロウ,23101414,牡,栗,角田晃一,グレーターロンドン,ティーブラウニー,ホワイトマズル,大田恭充,宝寄山拓樹,黒鹿,230313,0,400,   0,1,0,0,4,0,0,0,3,0,0,0,1,260326,不在,250703,000000
スラッシュコード,23101448,牡,美,伊藤圭三,ミスターメロディ,グリンテソーロ,カジノドライヴ,ノルマンディーサラブレッドレーシング,本間牧場,栗毛,230210,59,0,   0,0,0,0,8,0,0,0,1,0,0,0,7,260402,不在,250703,000000
デルニエジョイ,23101973,牡,栗,鈴木孝志,シスキン,グランジョイ,ダンスインザダーク,林千枝子,浦河日成牧場,鹿毛,230420,316,0,   0,0,0,1,5,0,0,0,2,0,0,1,3,260326,不在,250703,000000
スミヨン,23102168,牡,栗,小栗実　,Almanzor,ユーロトラベラー,Zarak,ターフライズ,信岡牧場,鹿毛,230415,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250703,000000
カフェラジェム,23102248,牡,美,柄崎将寿,カリフォルニアクローム,ルミエールカフェ,マンハッタンカフェ,西川光一,三嶋牧場,栗毛,230421,890,400,   0,1,1,0,0,0,0,0,0,1,1,0,0,260119,不在,250703,000000
フロステリオン,23102266,牡,美,萱野浩二,ディープブリランテ,リゼブルー,ダンカーク,ローレルレーシング,吉永ファーム,芦毛,230226,0,0,   0,0,0,0,4,0,0,0,2,0,0,0,2,260205,不在,250703,000000
イーグルチョイス,23102672,牡,栗,千田輝彦,ダノンスマッシュ,ナスケンアイリス,フレンチデピュティ,瀬野尾裕久,桜井牧場,鹿毛,230420,0,0,   0,0,0,0,4,0,0,0,1,0,0,0,3,260406,在厩,250703,000000
アイスアイスベイビ,23102937,牡,美,岩戸孝樹,ゴールドシップ,ブライテストリング,ダノンシャンティ,千明牧場,千代田牧場,芦毛,230309,118,0,   0,0,0,0,5,0,0,0,5,0,0,0,0,260402,不在,250703,000000
ネオアンボウ,23103049,牡,美,松尾卓哉,デクラレーションオブウォー,リビングマイライフ,ダイワメジャー,西田俊二,野坂牧場,鹿毛,230414,0,0,   0,0,0,0,3,0,0,0,0,0,0,0,2,260326,在厩,250703,000000
エコロアルバ,23103184,牡,美,田村康仁,モズアスコット,スターアクトレス,フレンチデピュティ,原村正紀,藤原牧場,栗毛,230430,5150,2000,   0,2,0,0,1,2,0,0,1,0,0,0,0,260406,在厩,250703,000000
アンバサダネージュ,23103216,牡,美,武藤善則,シニスターミニスター,ヴォーグショコラ,アイルハヴアナザー,志村幸彦,北洋牧場,栗毛,230430,360,0,   0,0,1,1,1,0,0,0,0,0,1,1,1,260402,在厩,250703,000000
ドロワ,23103705,牡,美,室井潔　,シルバーステート,ディレクタ,Anodin,G1レーシング,追分ファーム,黒鹿,230326,0,0,   0,0,0,0,1,0,0,0,1,0,0,0,0,260409,在厩,250703,000000
ウリズンベー,23103709,牡,美,萩原清　,ルヴァンスレーヴ,ヌチバナ,キングカメハメハ,G1レーシング,追分ファーム,栗毛,230414,1028,400,   0,1,1,0,2,0,0,0,0,1,1,0,2,260406,在厩,250703,000000
タイセイエキサイト,23103968,牡,美,青木孝文,アジアエクスプレス,コウセイエリザベス,アイルハヴアナザー,田中成奉,イワミ牧場,鹿毛,230330,0,400,   0,1,0,0,4,0,0,0,0,0,0,0,4,260409,在厩,250703,000000
メイショウソラリス,23103986,牡,栗,角田晃一,シスキン,アンリミテッドピサ,シンボリクリスエス,松本好隆,大狩部牧場,黒鹿,230414,635,400,   0,1,0,0,4,1,0,0,4,0,0,0,0,260409,不在,250703,000000
フォークスアップ,23104248,牡,美,勢司和浩,タワーオブロンドン,ブライトホープ,Shamardal,千明牧場,トド岩高原銀河農場物語,栗毛,230331,0,0,   0,0,0,0,4,0,0,0,2,0,0,0,2,260316,在厩,250703,000000
チェイサー,23104603,牡,美,相沢郁　,レイデオロ,ウェストレー,オルフェーヴル,本間茂,村上欽哉,鹿毛,230202,173,0,   0,0,0,0,8,0,0,0,4,0,0,0,4,260319,在厩,250703,000000
スズカローズキング,23104930,牡,栗,橋田宜長,スズカコーズウェイ,スズカローラン,サンデーサイレンス,永井宏明,辻牧場,黒鹿,230318,0,0,   0,0,0,0,3,0,0,0,1,0,0,0,2,260402,不在,250703,000000
メイショウシンガン,23104988,牡,栗,高橋義忠,ニューイヤーズデイ,コンゴウレイワ,アイルハヴアナザー,松本好隆,まるとみ冨岡牧場,黒鹿,230323,330,0,   0,0,0,2,1,0,0,0,0,0,0,2,1,251113,不在,250703,000000
ロジャートアリー,23104990,牡,栗,野中賢二,デクラレーションオブウォー,リーズン,ロードカナロア,浜田幸一,まるとみ冨岡牧場,鹿毛,230402,75,0,   0,0,0,0,5,0,0,0,3,0,0,0,2,260316,不在,250703,000000
メイショウコシュウ,23105032,牡,栗,松永幹夫,ナダル,メイショウササユリ,スズカマンボ,松本好隆,三嶋牧場,栗毛,230222,220,0,   0,0,1,0,1,0,0,0,0,0,1,0,1,251103,不在,250703,000000
テーオーアルアイン,23105241,牡,栗,奥村豊　,アルアイン,シードラゴン,Siyouni,小笹公也,社台ファーム,鹿毛,230314,2228,900,   0,2,1,0,4,2,1,0,4,0,0,0,0,260326,不在,250703,000000
チャーチルデュース,23105320,牡,栗,松永幹夫,"Into Mischief",ビューティフルギフト,"Medaglia d'Oro",キーファーズ,ノーザンファーム,鹿毛,230222,65,0,   0,0,0,0,2,0,0,0,0,0,0,0,2,260406,在厩,250703,000000
マテンロウストーム,23105392,牡,美,久保田貴,アドマイヤマーズ,マラコンセハダ,Zensational,寺田千代乃,新冠橋本牧場,芦毛,230319,56,0,   0,0,0,0,2,0,0,0,1,0,0,0,1,260316,在厩,250703,000000
エイシンディード,23105505,牡,栗,大久保龍,ファインニードル,エーシンエムディー,キングカメハメハ,栄進堂,山田昇史,黒鹿,230508,5270,2520,   0,2,2,0,1,1,1,0,1,0,0,0,0,260323,不在,250703,000000
ウインブリザード,23105874,牡,美,深山雅史,ゴールドシップ,エーシンマリポーサ,Pulpit,ウイン,コスモヴューファーム,芦毛,230402,0,0,   0,0,0,0,2,0,0,0,2,0,0,0,0,251229,不在,250703,000000
アエログラム,23106826,牡,美,菊沢隆徳,シルバーステート,アエロリット,クロフネ,サンデーレーシング,ノーザンファーム,黒鹿,230127,0,0,   0,0,0,0,1,0,0,0,1,0,0,0,0,260219,不在,250703,000000
エッチェレンテ,23106914,牡,美,鹿戸雄一,リアルスティール,エクセレンス2,"Champs Elysees",吉田勝己,ノーザンファーム,鹿毛,230218,0,0,   0,0,0,0,1,0,0,0,0,0,0,0,1,260129,不在,250703,000000
フォルナカリア,23106959,牡,美,栗田徹　,サートゥルナーリア,ガールオンファイア,アグネスタキオン,サンデーレーシング,ノーザンファーム,鹿毛,230503,59,0,   0,0,0,0,2,0,0,0,1,0,0,0,1,260319,在厩,250703,000000
ランブルスコ,23107013,牡,美,蛯名正義,キタサンブラック,サマーハ,Singspiel,金子真人ホールディングス,ノーザンファーム,黒鹿,230331,300,0,   0,0,1,0,1,0,1,0,1,0,0,0,0,260319,不在,250703,000000
フレアオブセンス,23107022,牡,栗,高野友和,ポエティックフレア,ザイラ,フェノーメノ,泉新キャピタル,ノーザンファーム,栗毛,230410,388,0,   0,0,1,0,4,0,1,0,3,0,0,0,1,260330,在厩,250703,000000
ショウナンバンライ,23107036,牡,栗,松下武士,オルフェーヴル,シュガーショック,"Candy Ride",国本哲秀,ノーザンファーム,栗毛,230418,1080,400,   0,1,1,1,2,1,1,1,2,0,0,0,0,260326,不在,250703,000000
シルバーナイツ,23107110,牡,栗,西園翔太,ミッキーアイル,チリーシルバー,"Malibu Moon",サンデーレーシング,ノーザンファーム,鹿毛,230412,990,400,   0,1,0,0,1,1,0,0,1,0,0,0,0,260305,不在,250703,000000
マイコンチェルト,23107118,牡,栗,大久保龍,サトノダイヤモンド,テディーズプロミス,"Salt Lake",インゼルレーシング,ノーザンファーム,鹿毛,230427,56,0,   0,0,0,0,3,0,0,0,3,0,0,0,0,260402,在厩,250703,000000
ケンタッキーホーム,23107181,牡,栗,松下武士,ゴールドドリーム,フォンタネットポー,Dunkirk,三田昌宏,ノーザンファーム,栗毛,230204,880,400,   0,1,0,1,2,0,0,0,0,1,0,1,2,260326,在厩,250703,000000
ゲンテン,23107346,牡,美,尾関知人,シルバーステート,レディイヴァンカ,"Tiz Wonderful",林正道,ノーザンファーム,黒鹿,230301,59,0,   0,0,0,0,3,0,0,0,2,0,0,0,1,260323,不在,250703,000000
パウワウビート,23110016,牡,栗,友道康夫,"Sioux Nation","Blissful Beat","Beat Hollow",フクキタル,"Loughtown Stud & Jamie Burns",栗毛,230328,410,0,   0,0,1,1,0,0,1,1,0,0,0,0,0,260219,不在,250703,000000
マイカラー,23110031,牡,栗,吉岡辰弥,"City of Light",Moart,"Uncle Mo",山口裕介,"Town & Country Horse Farms LLC",鹿毛,230228,385,0,   0,0,1,0,5,0,0,0,0,0,1,0,5,260409,不在,250703,000000
キーンセンス,23110036,牡,栗,松永幹夫,Munnings,Canny,"Big Brown",シルクレーシング,"Stonehaven Steadings",栗毛,230502,1031,400,   0,1,0,0,5,0,0,0,2,1,0,0,3,260402,在厩,250703,000000
ワザオギ,23110073,牡,栗,坂口智康,"Gun Runner","Ladies' Privilege","Harlan's Holiday",山紫水明,"Hinkle Farms",鹿毛,230411,780,400,   0,1,0,1,0,0,0,0,0,1,0,1,0,260409,在厩,250703,000000
ニッパーズ,23100198,牡,美,村田一誠,サトノアラジン,ダイアンスマイル,ロックオブジブラルタル,カカムーチョレーシング,田湯牧場,鹿毛,230206,0,0,   0,0,0,0,1,0,0,0,0,0,0,0,1,250925,不在,250710,000000
ウインビギニング,23100291,牡,美,上原博之,ニューイヤーズデイ,キネオダンサー,ディープインパクト,ウイン,広田牧場,黒鹿,230424,956,0,   0,0,3,1,1,0,0,0,0,0,3,1,1,260316,在厩,250710,000000
